GenProtEC: MultiFun assignments for E. coli modules
August 28th, 2007

Bnum	MultiFun class
b0001	1.5.1.8
b0002_1	1.5.1.21
b0002_1	1.5.1.8
b0002_1	7.1
b0002_2	1.5.1.21
b0002_2	1.5.1.8
b0002_2	7.1
b0003	1.5.1.8
b0003	7.1
b0004	1.5.1.8
b0004	7.1
b0006	6.1
b0007	4.2.A.25
b0007	4.S.131
b0007	6.1
b0007	7.3
b0008	1.7.3
b0008	7.1
b0009	1.5.3.4
b0009	7.1
b0010	3.1.4
b0010	6.1
b0012	2.2.2
b0012	2.3.4
b0012	3.1.2.2
b0012	3.3.2
b0012	5.5.2
b0014	2.3.4
b0014	5.1
b0014	5.5.1
b0014	7.1
b0015	2.3.4
b0015	7.1
b0016	8.3
b0017	8.3
b0018	10
b0018	4.9.B.6
b0018	5.6.3
b0019	4.2.A.33
b0019	4.S.136
b0019	5.5.4
b0019	6.1
b0019	7.3
b0020	2.2.2
b0020	3.1.2.2
b0020	3.3.1
b0020	5.5.4
b0020	7.1
b0021	8.3
b0022	8.3
b0023	2.3.2
b0023	2.3.8
b0023	6.6
b0023	7.1
b0025	1.5.3.9
b0025	7.1
b0026	2.3.1
b0026	7.1
b0027	2.3.5
b0027	4.S.160
b0027	6.1
b0027	7.3
b0028	2.3.4
b0028	7.1
b0029	1.5.3.19
b0029	3.1.4
b0029	5.6.4
b0029	7.1
b0030	1.7.33
b0031	1.5.1.7
b0031	6.2
b0031	7.1
b0032	1.5.1.3
b0032	1.5.2.2
b0032	7.1
b0033	1.5.1.3
b0033	1.5.2.2
b0033	7.1
b0034	2.2.2
b0034	3.1.2.2
b0034	3.3.1
b0034	7.1
b0035	1.7.22
b0036	1.1.4.2
b0036	1.7.22
b0037	6.1
b0037	7.3
b0038	1.1.4.2
b0038	1.7.22
b0038	7.1
b0039	1.1.4.2
b0039	1.4.2
b0039	1.7.2
b0039	1.7.22
b0039	7.1
b0040	1.1.1
b0040	4.2.A.15
b0040	4.S.27
b0040	6.1
b0040	7.3
b0041	1.1.1
b0042	1.1.1
b0043	1.7.22
b0044	1.7.22
b0045	4.2.A.1
b0045	4.S.173
b0045	6.1
b0045	7.3
b0046	4.8.A
b0047	4.2.A.37
b0047	4.S.97
b0047	6.1
b0047	7.3
b0048	1.5.3.2
b0048	1.7.17
b0049	1.7.33
b0049	7.1
b0051	2.2.3
b0051	5.6.4
b0051	7.1
b0052	1.5.3.6
b0052	7.1
b0053	2.3.4
b0053	7.4
b0054	5.5.6
b0054	6.1
b0054	7.3
b0055	2.3.4
b0055	6.1
b0055	7.3
b0058	2.2.3
b0059	2.2.3
b0059	3.1.2.2
b0060	2.1.1
b0060	2.1.4
b0060	5.6.1
b0060	5.8
b0060	7.1
b0061	1.1.1.25
b0061	1.1.1.8
b0061	7.1
b0062	1.1.1.8
b0062	7.1
b0063	1.1.1.8
b0063	7.1
b0064	1.1.1
b0064	2.2.2
b0064	3.1.2.2
b0064	3.1.2.3
b0064	3.3.1
b0064	7.1
b0065	6.1
b0066	1.5.3.8
b0066	4.3.A.1.a
b0066	4.S.177
b0066	6.1
b0066	7.1
b0067_1	1.5.3.8
b0067_1	4.3.A.1.m
b0067_1	4.S.177
b0067_1	6.1
b0067_1	7.3
b0067_2	1.5.3.8
b0067_2	4.3.A.1.m
b0067_2	4.S.177
b0067_2	6.1
b0067_2	7.3
b0068	1.5.3.8
b0068	4.3.A.1.p
b0068	4.S.177
b0068	7.2
b0069	4.9.B
b0069	7.2
b0070	1.1.1
b0070	4.2.A.1
b0070	4.S.21
b0070	6.1
b0070	7.3
b0071	1.5.1.19
b0071	7.1
b0072	1.5.1.19
b0072	7.1
b0073	1.5.1.19
b0073	7.1
b0074	1.5.1.19
b0074	7.1
b0075	1.5.1.19
b0075	7.1
b0076	1.5.1.19
b0076	2.2.2
b0076	3.1.2.2
b0076	3.3.1
b0076	5.5.3
b0076	7.1
b0077	1.5.1.18
b0078	1.5.1.18
b0079	1.3.1
b0080	1.3.1
b0080	1.3.9
b0080	2.2.2
b0080	3.1.2.2
b0080	3.1.2.3
b0080	3.3.2
b0080	7.1
b0082	1.6.10
b0083	5.1
b0084	1.6.7
b0084	5.1
b0084	5.6.4
b0084	6.1
b0084	6.2
b0084	7.3
b0085	1.6.7
b0085	6.2
b0086	1.6.7
b0086	1.7.34
b0086	5.1
b0086	6.2
b0086	7.1
b0087	1.6.7
b0087	6.1
b0087	6.2
b0087	7.3
b0088	1.6.7
b0088	6.2
b0088	7.1
b0089	4.9.B.3
b0089	5.1
b0089	6.1
b0089	7.3
b0090	1.6.7
b0090	6.1
b0090	6.2
b0090	7.3
b0091	1.6.7
b0091	6.2
b0092	1.6.7
b0092	5.1
b0092	6.2
b0092	7.1
b0093	5.1
b0093	7.3
b0094	5.1
b0094	6.1
b0094	7.3
b0095	5.1
b0095	7.1
b0096	1.6.3.3
b0096	6.1
b0096	6.3
b0096	7.1
b0097	3.1.3.1
b0097	4.3.A.5
b0097	4.S.160
b0097	7.1
b0098	4.3.A.5
b0098	4.S.160
b0098	7.1
b0099	1.7.15
b0099	7.1
b0103	1.5.3.5
b0104	1.5.2.3
b0104	1.7.33
b0104	7.1
b0106	10
b0106	6.1
b0106	7.3
b0107	10
b0107	4.9.B
b0107	4.S.161
b0107	6.5
b0108	10
b0108	6.5
b0109	1.5.3.7
b0110	1.7.34
b0110	3.1.4
b0110	6.2
b0110	7.1
b0111	5.6.4
b0111	6.1
b0111	7.3
b0112	1.5.1.13
b0112	1.5.1.14
b0112	4.2.A.3
b0112	4.S.154
b0112	6.1
b0112	7.3
b0113	1.3.1
b0113	2.2.2
b0113	3.1.2.3
b0113	3.3.1
b0113	7.1
b0114	1.1.1.20
b0114	1.3.3
b0114	1.3.7
b0114	1.7.21
b0114	1.7.35
b0115	1.1.1.20
b0115	1.3.3
b0115	1.3.7
b0115	1.7.21
b0115	1.7.35
b0116	1.1.1.20
b0116	1.1.3.5
b0116	1.3.3
b0116	1.3.4
b0116	1.3.6
b0116	1.3.7
b0116	1.7.17
b0116	1.7.21
b0116	7.1
b0117	6.1
b0118	1.1.2.3
b0118	1.3.4
b0118	1.3.7
b0118	1.7.2
b0120	1.7.14.3
b0121	1.7.14.3
b0123	5.6.2
b0124	1.7.9
b0124	6.1
b0124	7.3
b0125	1.7.33.2
b0125	7.1
b0126	1.7.24
b0127	4.3.A.1.a
b0127	7.1
b0128	4.3.A.1.m
b0128	6.1
b0128	7.3
b0129	4.4.A
b0129	4.S.173
b0131	1.5.3.23
b0131	1.5.3.5
b0131	7.1
b0132	8.3
b0133	1.5.3.23
b0133	1.5.3.5
b0133	7.1
b0134	1.5.3.23
b0134	1.5.3.5
b0134	7.1
b0135	6.5
b0138	6.5
b0139	6.1
b0139	7.4
b0140	2.3.4
b0140	7.3
b0141	6.5
b0142	1.5.3.2
b0143	2.2.3
b0143	7.1
b0144	2.2.3
b0144	7.1
b0145	3.1.2.4
b0145	7.1
b0146	1.1.1
b0146	3.1.4
b0147	2.2.3
b0147	6.6
b0147	7.1
b0148	2.1.1
b0148	7.1
b0149_1	1.6.7
b0149_1	5.1
b0149_1	5.6.4
b0149_1	6.2
b0149_1	7.3
b0149_2	1.6.7
b0149_2	5.1
b0149_2	5.6.4
b0149_2	7.1
b0149_3	1.6.7
b0149_3	5.1
b0149_3	5.6.4
b0149_3	7.1
b0150	4.1.B.14
b0150	4.S.58
b0150	5.5.7
b0150	6.1
b0150	7.4
b0150	8.1
b0150	8.4
b0151	4.3.A.1.a
b0151	4.S.58
b0151	5.5.7
b0151	7.1
b0152	4.3.A.1.p
b0152	4.S.58
b0152	5.5.7
b0152	7.2
b0153_1	4.3.A.1.m
b0153_1	4.S.58
b0153_1	5.5.7
b0153_1	6.1
b0153_1	7.3
b0153_2	4.3.A.1.m
b0153_2	4.S.58
b0153_2	5.5.7
b0153_2	6.1
b0153_2	7.3
b0154	1.5.3.12
b0155	4.1.A.11
b0155	4.S.32
b0155	6.1
b0156	1.7.19
b0157	6.1
b0158	7.2
b0159	1.7.33
b0160	1.7.33
b0160	7.1
b0161	1.2.3
b0161	5.5.2
b0161	5.5.6
b0161	7.2
b0162	3.1.4
b0162	3.3.2
b0166	1.5.1.7
b0166	7.1
b0167	1.5.2.1
b0167	1.8.3
b0167	2.3.3
b0167	3.1.2.4.3
b0167	7.1
b0168	2.3.4
b0169	2.3.2
b0169	2.3.8
b0169	6.6
b0169	7.1
b0170	2.3.2
b0170	7.1
b0171	1.5.2.2
b0171	7.1
b0172	2.3.2
b0172	3.1.3.1
b0172	7.1
b0173	1.5.3.19
b0174	1.5.3.19
b0174	6.3
b0174	7.1
b0175	1.6.1.2
b0175	6.1
b0175	7.3
b0176	3.1.3.4
b0176	5.5
b0176	6.1
b0176	7.1
b0177	6.1
b0177	7.4
b0178	2.3.4
b0178	2.3.7
b0178	6.1
b0178	7.2
b0179	1.6.3.3
b0179	6.3
b0180	1.5.4.1
b0180	1.5.4.2
b0180	7.1
b0181	1.6.3.3
b0181	6.3
b0181	7.1
b0182	1.6.3.3
b0182	6.1
b0182	6.3
b0182	7.1
b0183	1.2.1
b0183	2.2.4
b0183	7.1
b0184	2.1.1
b0184	7.1
b0185	1.5.4.3
b0185	7.1
b0186	1.1.3.10
b0188	2.2.3
b0188	7.1
b0189	2.2.2
b0189	3.1.4
b0189	7.1
b0192	5.12
b0192	5.6.2
b0192	6.1
b0192	7.4
b0194	2.3.1
b0194	7.1
b0196	1.6.2
b0196	3.1.2.4.3
b0196	3.1.4
b0196	6.3
b0196	6.7
b0197	4.3.A.1.p
b0197	4.S.118
b0197	7.2
b0198	4.3.A.1.m
b0198	4.S.118
b0198	6.1
b0198	7.3
b0199	4.3.A.1.a
b0199	4.S.118
b0199	7.1
b0200	1.6.3.2
b0201	2.2.6
b0201	2.3.2
b0201	6.6
b0201	7.1
b0202	2.2.5
b0202	7.1
b0203	2.2.5
b0203	7.1
b0204	2.2.6
b0204	2.3.2
b0204	6.6
b0204	7.1
b0205	2.2.6
b0205	2.3.2
b0205	6.6
b0205	7.1
b0206	2.2.5
b0206	7.1
b0207	1.1.1.2
b0207	1.7.23
b0207	7.1
b0208	2.2.2
b0208	3.1.2.2
b0208	3.1.2.3
b0210	1.5.3.1
b0211	1.6.7
b0211	2.2.2
b0211	7.1
b0212	1.7.23
b0214	1.2.1
b0214	2.1.1
b0214	2.3.6
b0214	7.1
b0215	2.1.1
b0215	2.3.4
b0215	7.1
b0216	2.2.5
b0216	7.1
b0221	1.1.2.4
b0221	1.1.2.6
b0221	6.1
b0222	1.6.3.2
b0222	6.3
b0222	7.1
b0225	5.10
b0226	2.1.4
b0226	5.10
b0227	6.1
b0229	4.9.B
b0229	6.1
b0229	6.4
b0229	7.3
b0230	5.3
b0231	2.1.1
b0231	5.8
b0231	7.1
b0236	2.3.2
b0236	7.1
b0237	1.2.3
b0237	7.1
b0238	1.7.33.1
b0238	1.7.33.2
b0238	7.1
b0240	2.2.2
b0240	3.1.2.2
b0240	3.3.1
b0240	6.5
b0240	7.1
b0241	4.1.B.1
b0241	4.S.92
b0241	6.1
b0241	7.4
b0242	1.5.1.4
b0242	7.1
b0243	1.5.1.4
b0243	7.1
b0244	2.2.5
b0244	7.1
b0245	8.1
b0246	8.1
b0247	8.1
b0248	8.1
