prmA,methyltransferase for 50S ribosomal subunit protein L11
rplA,50S ribosomal subunit protein L1
rplB,50S ribosomal subunit protein L2
rplC,50S ribosomal subunit protein L3
rplD,50S ribosomal subunit protein L4
rplE,50S ribosomal subunit protein L5
rplF,50S ribosomal subunit protein L6
rplI,50S ribosomal subunit protein L9
rplJ,50S ribosomal subunit protein L10
rplK,50S ribosomal subunit protein L11
rplL,50S ribosomal subunit protein L12
rplM,50S ribosomal subunit protein L13
rplN,50S ribosomal subunit protein L14
rplO,50S ribosomal subunit protein L15
rplP,50S ribosomal subunit protein L16
rplQ,50S ribosomal subunit protein L17
rplR,50S ribosomal subunit protein L18
rplS,50S ribosomal subunit protein L19
rplT,50S ribosomal subunit protein L20
rplU,50S ribosomal subunit protein L21
rplV,50S ribosomal subunit protein L22
rplW,50S ribosomal subunit protein L23
rplX,50S ribosomal subunit protein L24
rplY,50S ribosomal subunit protein L25
rpmA,50S ribosomal subunit protein L27
rpmB,50S ribosomal subunit protein L28
rpmC,50S ribosomal subunit protein L29
rpmD,50S ribosomal subunit protein L30
rpmE,50S ribosomal subunit protein L31
rpmF,50S ribosomal subunit protein L32
rpmG,50S ribosomal subunit protein L33
rpmH,50S ribosomal subunit protein L34
rpmI,50S ribosomal subunit protein L35
rpmJ,50S ribosomal subunit protein L36
rpsA,30S ribosomal subunit protein S1
rpsB,30S ribosomal subunit protein S2
rpsC,30S ribosomal subunit protein S3
rpsD,30S ribosomal subunit protein S4
rpsE,30S ribosomal subunit protein S5
rpsF,30S ribosomal subunit protein S6
rpsG,30S ribosomal subunit protein S7
rpsH,30S ribosomal subunit protein S8
rpsI,30S ribosomal subunit protein S9
rpsJ,30S ribosomal subunit protein S10
rpsK,30S ribosomal subunit protein S11
rpsL,30S ribosomal subunit protein S12
rpsM,30S ribosomal subunit protein S13
rpsN,30S ribosomal subunit protein S14
rpsO,30S ribosomal subunit protein S15
rpsP,30S ribosomal subunit protein S16
rpsQ,30S ribosomal subunit protein S17
rpsR,30S ribosomal subunit protein S18
rpsS,30S ribosomal subunit protein S19
rpsT,30S ribosomal subunit protein S20
rpsU,30S ribosomal subunit protein S21
sra,30S ribosomal subunit protein S22
