GenProtEC: Gene product function of E. coli K-12.
August 28th, 2007.

eck	bnum	genbank	gene	gene type	gene product	EC no1	EC no2	EC no3	EC no4
ECK0001	b0001	1786182	thrL	l	thr operon leader peptide				
ECK0002	b0002	1786183	thrA	e	fused aspartokinase I -!- homoserine dehydrogenase I	2.7.2.4	1.1.1.3		
ECK0003	b0003	1786184	thrB	e	homoserine kinase	2.7.1.39			
ECK0004	b0004	1786185	thrC	e	threonine synthase	4.2.3.1			
ECK0005	b0005	1786186	yaaX	o	predicted protein				
ECK0006	b0006	1786187	yaaA	o	conserved protein				
ECK0007	b0007	1786188	yaaJ	pt	predicted transporter				
ECK0008	b0008	1786189	talB	e	transaldolase B	2.2.1.2			
ECK0009	b0009	1786190	mog	pf	predicted molybdochelatase				
ECK0010	b0010	1786191	yaaH	pm	conserved inner membrane protein associated with acetate transport				
ECK0011	b0011	1786193	yaaW	o	conserved protein				
ECK0012	b0012	87081679	htgA	o	predicted protein				
ECK0013	b0013	1786195	yaaI	o	predicted protein				
ECK0014	b0014	1786196	dnaK	f	chaperone Hsp70, co-chaperone with DnaJ				
ECK0015	b0015	1786197	dnaJ	f	chaperone Hsp40, co-chaperone with DnaK, DNA-binding				
ECK0016	b0016	1786198	insL-1	h	IS186/IS421 transposase				
ECK0016	b0582	1786796	insL-2	h	IS186/IS421 transposase				
ECK0016	b2394	87082095	insL-3	ph	predicted transposase				
ECK0017	b4412	48994874	hokC	m	toxic membrane protein, small				
ECK0018	b0018	1786200	mokC	r	regulatory protein for HokC, overlaps CDS of hokC				
ECK0019	b4413		sokC	n	regulatory, antisense RNA				
ECK0020	b0019	1786201	nhaA	t	sodium-proton antiporter				
ECK0021	b0020	1786202	nhaR	r	DNA-binding transcriptional activator				
ECK0022	b0021	1786203	insB-1	h	IS1 transposase InsAB'				
ECK0022	b0264	1786459	insB-2	h	CP4-6 prophage; IS1 transposase InsAB'				
ECK0022	b0274	1786470	insB-3	h	CP4-6 prophage; IS1 transposase InsAB'				
ECK0022	b0988	1787223	insB-4	h	IS1 transposase InsAB'				
ECK0022	b1893	1788203	insB-5	h	IS1 transposase InsAB'				
ECK0022	b3445	1789853	insB-6	h	IS1 transposase InsAB'				
ECK0022	b4563	87082412	insB-7_1	h	IS1 transposase InsAB', N-ter fragment (pseudogene)				
